year,region,country,modularity,in-conductance,out-conductance
2009,Europe,Netherlands,0.019038996166908417,0.6466704802867305,0.46793125477439645
2009,Europe,Poland,0.012875147835561403,0.4441964194682962,0.28954001880879554
2009,Europe,Portugal,0.006998365889258083,0.37556910031055163,0.25408832691028616
2009,Europe,Romania,0.005264626810358377,0.38500536254018114,0.2688555408501219
2009,Europe,Sweden,0.007901206194466204,0.6834447635651885,0.49233721506357725
2009,Europe,Slovenia,0.0019686373525931097,0.46317545055524023,0.2929784072986573
2009,Europe,Slovakia,0.0033703467177493415,0.5753552848375515,0.3964167611349871
2009,Europe,United Kingdom,0.05601420870499853,0.4116429129635477,0.25667398724281365
2009,America,United States,0.2569926995198447,0.23812628870791017,0.14921621648539823
2009,Asia and Pacific,Japan,0.12963639865381893,0.1923332007712275,0.10466434495772954
2009,Asia and Pacific,China,0.2548834977351621,0.18468609858529791,0.10725314287048712
2009,America,Canada,0.025248725468570817,0.509633394194042,0.32815405731014613
2009,Asia and Pacific,South Korea,0.0306657032243043,0.5127987639994281,0.3564006443474119
2009,America,Brazil,0.03877239732075691,0.21132080126866612,0.11599519089968585
2009,Asia and Pacific,India,0.04078347209326748,0.3057373580255025,0.20260480914092976
2009,America,Mexico,0.018703175074804367,0.47656517597652337,0.3184027547866181
2009,Europe,Russia,0.027281239536992463,0.41573301178960637,0.2001244098609327
2009,Asia and Pacific,Australia,0.026440548215763162,0.3349543461119991,0.2084573819192686
2009,Europe,Switzerland,0.012550360057611867,0.6773971062816546,0.49854668416923764
2009,Middle East,Turkey,0.015546106592810825,0.3287405905294974,0.18491670505043628
2009,Asia and Pacific,Taiwan,0.01031819170804087,0.7064735655951836,0.542339436029124
2009,Europe,Norway,0.009252214319262268,0.5054544063986578,0.2662850861716448
2009,Asia and Pacific,Indonesia,0.01513552242071866,0.34018438458675476,0.19891004777349322
2009,Africa,South Africa,0.011145279947848837,0.25630066763618303,0.16096901735438984
2009,Asia and Pacific,RoW Asia and Pacific,0.03867833258335171,0.8318555502888276,0.7038002779496632
