,year,country,sector,coal,length_ratio,length
10,2006,India,Construction products,14.118027732905182,0.3214980868493934,0.19608371851257195
11,2006,India,Iron,4.7065414384438675,0.10717814816373955,0.06536863108949816
12,2006,India,Copper,4.703349879549235,0.10710546945123779,0.06532430388262826
13,2006,India,Precious metals,4.573759583625758,0.10415441757615616,0.06352443866146887
14,2006,India,Aluminium,3.5210040024216567,0.080180891551109,0.04890283336696745
15,2006,India,"Lead, zinc and tin",2.953842347505154,0.06726539156487477,0.04102558815979381
16,2006,India,"Iron, steel and ferro-alloys",2.6324134858285886,0.059945759811613625,0.03656129841428595
17,2006,India,Other sectors,6.704317348001084,0.1526718350318758,0.09311551872223728
18,2006,Switzerland,Coal elec. prod.,13.317137902486031,0.28847595301315565,0.18496024864563934
19,2006,Switzerland,Gaseous fuels distribution,6.987493748368379,0.15136314822254276,0.09704852428289416
20,2006,Switzerland,Other petroleum,5.600467030237757,0.12131736381321062,0.07778426430885774
21,2006,Switzerland,Other sectors,20.258672556639794,0.43884353495109096,0.28137045217555273
22,2006,RoW America,Petroleum elec. prod.,25.03856422077315,0.2446325825592645,0.22567404625911291
23,2006,RoW America,Coke oven products,25.031011858294352,0.24455879422534402,0.22560597637362034
24,2006,RoW America,Other sources elec. prod.,15.130829934565273,0.14783171952354998,0.13637505667193625
25,2006,RoW America,Hydro elec. prod.,11.821685225019007,0.11550060783436568,0.10654954153154841
26,2006,RoW America,Gas elec. prod.,10.483770744954235,0.10242887290516636,0.09449083993817282
27,2006,RoW America,Fertilizers,7.608482297561547,0.07433663757224233,0.06857569670696266
28,2006,RoW America,Biomass and waste elec. prod.,7.237370109565,0.07071078538006693,0.0652308408141567
29,2006,RoW America,Other sectors,-35.93157051345584,-0.25984030201735187,-0.239703197848716
30,2006,Hungary,Coke oven products,72.45478136664391,1.0,0.9338788504059712
31,2006,Hungary,Other sectors,-5.215504137413987,-0.06714928500090944,-0.06270929708223223
32,2006,Greece,Precious metals,71.06790953197417,0.6842354300189056,0.9870542990551968
33,2006,Greece,Coal elec. prod.,12.337514780794859,0.11878448074519118,0.17135437195548414
34,2006,Greece,Other sectors,20.459278410985775,0.19698008923590316,0.28415664459702467
35,2006,Russia,Coal elec. prod.,33.403382038528726,0.2935049376345743,0.4639358616462323
36,2006,Russia,Coke oven products,10.858013904512035,0.09540592896262051,0.15080574867377827
